cell_index,cell_id,fila,columna,xmin_m,ymin_m,xmax_m,ymax_m,centro_x_m,centro_y_m,area_nominal_m2,area_nominal_ha,area_dentro_loja_m2,area_dentro_loja_ha,fraccion_dentro_loja,es_celda_completa,fraccion_lt_001,fraccion_lt_005,fraccion_lt_010,fraccion_lt_025,fraccion_lt_050,geometria_presente,epsg,categoria_cobertura_territorial
0,LJ500_R000_C073,0,73,697500.0,9501000.0,698000.0,9501500.0,697750.0,9501250.0,250000.0,25.0,88.59659452276875,0.008859659452276875,0.00035438637809107504,False,True,True,True,True,True,True,32717,parcial_lt_050
1,LJ500_R000_C074,0,74,698000.0,9501000.0,698500.0,9501500.0,698250.0,9501250.0,250000.0,25.0,76084.4264922633,7.60844264922633,0.3043377059690532,False,False,False,False,False,True,True,32717,parcial_lt_050
2,LJ500_R000_C075,0,75,698500.0,9501000.0,699000.0,9501500.0,698750.0,9501250.0,250000.0,25.0,77466.61766379139,7.746661766379139,0.30986647065516554,False,False,False,False,False,True,True,32717,parcial_lt_050
3,LJ500_R001_C049,1,49,685500.0,9501500.0,686000.0,9502000.0,685750.0,9501750.0,250000.0,25.0,8345.236130850593,0.8345236130850593,0.03338094452340237,False,False,True,True,True,True,True,32717,parcial_lt_050
4,LJ500_R001_C050,1,50,686000.0,9501500.0,686500.0,9502000.0,686250.0,9501750.0,250000.0,25.0,111168.65586140739,11.116865586140738,0.4446746234456295,False,False,False,False,False,True,True,32717,parcial_lt_050
5,LJ500_R001_C051,1,51,686500.0,9501500.0,687000.0,9502000.0,686750.0,9501750.0,250000.0,25.0,141943.35744407194,14.194335744407194,0.5677734297762878,False,False,False,False,False,False,True,32717,parcial_ge_050
6,LJ500_R001_C052,1,52,687000.0,9501500.0,687500.0,9502000.0,687250.0,9501750.0,250000.0,25.0,96326.7725217481,9.63267725217481,0.38530709008699243,False,False,False,False,False,True,True,32717,parcial_lt_050
7,LJ500_R001_C053,1,53,687500.0,9501500.0,688000.0,9502000.0,687750.0,9501750.0,250000.0,25.0,759.557155632742,0.0759557155632742,0.003038228622530968,False,True,True,True,True,True,True,32717,parcial_lt_050
8,LJ500_R001_C072,1,72,697000.0,9501500.0,697500.0,9502000.0,697250.0,9501750.0,250000.0,25.0,8445.211530854383,0.8445211530854383,0.033780846123417536,False,False,True,True,True,True,True,32717,parcial_lt_050
9,LJ500_R001_C073,1,73,697500.0,9501500.0,698000.0,9502000.0,697750.0,9501750.0,250000.0,25.0,166621.97863968942,16.66219786396894,0.6664879145587577,False,False,False,False,False,False,True,32717,parcial_ge_050
10,LJ500_R001_C074,1,74,698000.0,9501500.0,698500.0,9502000.0,698250.0,9501750.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
11,LJ500_R001_C075,1,75,698500.0,9501500.0,699000.0,9502000.0,698750.0,9501750.0,250000.0,25.0,219051.280070876,21.9051280070876,0.8762051202835041,False,False,False,False,False,False,True,32717,parcial_ge_050
12,LJ500_R001_C076,1,76,699000.0,9501500.0,699500.0,9502000.0,699250.0,9501750.0,250000.0,25.0,33257.73856170311,3.325773856170311,0.13303095424681244,False,False,False,False,True,True,True,32717,parcial_lt_050
13,LJ500_R002_C051,2,51,686500.0,9502000.0,687000.0,9502500.0,686750.0,9502250.0,250000.0,25.0,4124.797016375415,0.41247970163754155,0.01649918806550166,False,False,True,True,True,True,True,32717,parcial_lt_050
14,LJ500_R002_C052,2,52,687000.0,9502000.0,687500.0,9502500.0,687250.0,9502250.0,250000.0,25.0,186677.04873632235,18.667704873632236,0.7467081949452894,False,False,False,False,False,False,True,32717,parcial_ge_050
15,LJ500_R002_C053,2,53,687500.0,9502000.0,688000.0,9502500.0,687750.0,9502250.0,250000.0,25.0,195522.3341426223,19.55223341426223,0.7820893365704892,False,False,False,False,False,False,True,32717,parcial_ge_050
16,LJ500_R002_C054,2,54,688000.0,9502000.0,688500.0,9502500.0,688250.0,9502250.0,250000.0,25.0,37569.35140997461,3.756935140997461,0.15027740563989844,False,False,False,False,True,True,True,32717,parcial_lt_050
17,LJ500_R002_C072,2,72,697000.0,9502000.0,697500.0,9502500.0,697250.0,9502250.0,250000.0,25.0,32511.26636280411,3.2511266362804108,0.13004506545121644,False,False,False,False,True,True,True,32717,parcial_lt_050
18,LJ500_R002_C073,2,73,697500.0,9502000.0,698000.0,9502500.0,697750.0,9502250.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
19,LJ500_R002_C074,2,74,698000.0,9502000.0,698500.0,9502500.0,698250.0,9502250.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
20,LJ500_R002_C075,2,75,698500.0,9502000.0,699000.0,9502500.0,698750.0,9502250.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
21,LJ500_R002_C076,2,76,699000.0,9502000.0,699500.0,9502500.0,699250.0,9502250.0,250000.0,25.0,140696.88289933343,14.069688289933342,0.5627875315973337,False,False,False,False,False,False,True,32717,parcial_ge_050
22,LJ500_R003_C052,3,52,687000.0,9502500.0,687500.0,9503000.0,687250.0,9502750.0,250000.0,25.0,29051.27284335426,2.905127284335426,0.11620509137341704,False,False,False,False,True,True,True,32717,parcial_lt_050
23,LJ500_R003_C053,3,53,687500.0,9502500.0,688000.0,9503000.0,687750.0,9502750.0,250000.0,25.0,248500.7771309876,24.850077713098763,0.9940031085239505,False,False,False,False,False,False,True,32717,parcial_ge_050
24,LJ500_R003_C054,3,54,688000.0,9502500.0,688500.0,9503000.0,688250.0,9502750.0,250000.0,25.0,128267.37943448119,12.82673794344812,0.5130695177379248,False,False,False,False,False,False,True,32717,parcial_ge_050
25,LJ500_R003_C072,3,72,697000.0,9502500.0,697500.0,9503000.0,697250.0,9502750.0,250000.0,25.0,31861.33148242048,3.186133148242048,0.1274453259296819,False,False,False,False,True,True,True,32717,parcial_lt_050
26,LJ500_R003_C073,3,73,697500.0,9502500.0,698000.0,9503000.0,697750.0,9502750.0,250000.0,25.0,249798.9367120949,24.97989367120949,0.9991957468483796,False,False,False,False,False,False,True,32717,parcial_ge_050
27,LJ500_R003_C074,3,74,698000.0,9502500.0,698500.0,9503000.0,698250.0,9502750.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
28,LJ500_R003_C075,3,75,698500.0,9502500.0,699000.0,9503000.0,698750.0,9502750.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
29,LJ500_R003_C076,3,76,699000.0,9502500.0,699500.0,9503000.0,699250.0,9502750.0,250000.0,25.0,205093.06344197007,20.509306344197007,0.8203722537678803,False,False,False,False,False,False,True,32717,parcial_ge_050
30,LJ500_R003_C077,3,77,699500.0,9502500.0,700000.0,9503000.0,699750.0,9502750.0,250000.0,25.0,34.73725745651147,0.003473725745651147,0.00013894902982604588,False,True,True,True,True,True,True,32717,parcial_lt_050
31,LJ500_R004_C052,4,52,687000.0,9503000.0,687500.0,9503500.0,687250.0,9503250.0,250000.0,25.0,154.3077432122858,0.01543077432122858,0.0006172309728491432,False,True,True,True,True,True,True,32717,parcial_lt_050
32,LJ500_R004_C053,4,53,687500.0,9503000.0,688000.0,9503500.0,687750.0,9503250.0,250000.0,25.0,234060.05036479878,23.40600503647988,0.9362402014591951,False,False,False,False,False,False,True,32717,parcial_ge_050
33,LJ500_R004_C054,4,54,688000.0,9503000.0,688500.0,9503500.0,688250.0,9503250.0,250000.0,25.0,234166.45115213835,23.416645115213836,0.9366658046085534,False,False,False,False,False,False,True,32717,parcial_ge_050
34,LJ500_R004_C055,4,55,688500.0,9503000.0,689000.0,9503500.0,688750.0,9503250.0,250000.0,25.0,182998.18404285173,18.299818404285173,0.7319927361714069,False,False,False,False,False,False,True,32717,parcial_ge_050
35,LJ500_R004_C056,4,56,689000.0,9503000.0,689500.0,9503500.0,689250.0,9503250.0,250000.0,25.0,26197.516390189878,2.619751639018988,0.10479006556075951,False,False,False,False,True,True,True,32717,parcial_lt_050
36,LJ500_R004_C069,4,69,695500.0,9503000.0,696000.0,9503500.0,695750.0,9503250.0,250000.0,25.0,191.0792646526585,0.01910792646526585,0.0007643170586106341,False,True,True,True,True,True,True,32717,parcial_lt_050
37,LJ500_R004_C070,4,70,696000.0,9503000.0,696500.0,9503500.0,696250.0,9503250.0,250000.0,25.0,50597.785455546604,5.059778545554661,0.20239114182218643,False,False,False,False,True,True,True,32717,parcial_lt_050
38,LJ500_R004_C071,4,71,696500.0,9503000.0,697000.0,9503500.0,696750.0,9503250.0,250000.0,25.0,129181.08940757613,12.918108940757612,0.5167243576303046,False,False,False,False,False,False,True,32717,parcial_ge_050
39,LJ500_R004_C072,4,72,697000.0,9503000.0,697500.0,9503500.0,697250.0,9503250.0,250000.0,25.0,231638.95975926213,23.163895975926213,0.9265558390370485,False,False,False,False,False,False,True,32717,parcial_ge_050
40,LJ500_R004_C073,4,73,697500.0,9503000.0,698000.0,9503500.0,697750.0,9503250.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
41,LJ500_R004_C074,4,74,698000.0,9503000.0,698500.0,9503500.0,698250.0,9503250.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
42,LJ500_R004_C075,4,75,698500.0,9503000.0,699000.0,9503500.0,698750.0,9503250.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
43,LJ500_R004_C076,4,76,699000.0,9503000.0,699500.0,9503500.0,699250.0,9503250.0,250000.0,25.0,250000.0,25.0,1.0,True,False,False,False,False,False,True,32717,completa
44,LJ500_R004_C077,4,77,699500.0,9503000.0,700000.0,9503500.0,699750.0,9503250.0,250000.0,25.0,180212.49203426673,18.021249203426674,0.7208499681370669,False,False,False,False,False,False,True,32717,parcial_ge_050
45,LJ500_R005_C052,5,52,687000.0,9503500.0,687500.0,9504000.0,687250.0,9503750.0,250000.0,25.0,1580.697571495918,0.15806975714959182,0.0063227902859836725,False,True,True,True,True,True,True,32717,parcial_lt_050
