archivo,filas,tamano_bytes,sha256
clean/malla_500m.csv,7997,1415371,b12b67e0a67f73921e8abedf09f6adbfaf1a2ff2fdccda394c93723610a49400
clean/malla_500m.parquet,7997,151128,13c32327819e625d74e314f9c6e37a497a38ad602f88a06b3dfb1ab63a09022f
clean/viirs_2023.csv,95964,25330772,76da903e6f52f2b8abd4c56af81909c49ac048c685ae039f08abf2f0759d45a9
clean/viirs_2023.parquet,95964,231715,ba8caea5cee04218f62213a3a89bde1dd053aa155a4f7497f886e27853a610dc
clean/chirps_2023.csv,95964,21440136,d73b771a96649eff5904ffaf42e93eeab18019b67fe1cf26dbb5dbed9dad433d
clean/chirps_2023.parquet,95964,1188646,53200583c2bbc6b61354c9b019507938bf17bfe7dc9a59ecf3e3e8c29e4b5d9f
clean/observaciones_viirs_sin_cobertura_2023.csv,900,147055,9bb54fa7429c65f5c4e2f17714f3a2fe2ff6fe8ee1b150ae86ff70b8dd981266
clean/observaciones_viirs_sin_cobertura_2023.parquet,900,8995,b81acb75a1dad20527059f3834bf7aa0694f66e51735ee0b8aedf8810c6c4004
clean/rechazos_criticos_2023.csv,0,62,02ae7dd283c98f4afefe07155732d92f33c10d5397e9b0912297d0caa1e14e25
clean/rechazos_criticos_2023.parquet,0,3812,2feb12fd8f514e53e482368fa785366fc221260f636d0ee26c5fbbdf3f0d777d
