fuente,ambito,variable,tipo_fuente,tipo_inferido,filas,no_nulos,nulos,porcentaje_nulos,valores_distintos,minimo,maximo,valores_frecuentes
chirps,completo_2019_2025,anio,texto CSV,entero,671748,671748,0,0.000000,7,2019,2025,2019:95964 | 2020:95964 | 2021:95964 | 2022:95964 | 2023:95964 | 2024:95964 | 2025:95964
chirps,completo_2019_2025,anio_mes,texto CSV,texto,671748,671748,0,0.000000,84,,,2019-01:7997 | 2019-02:7997 | 2019-03:7997 | 2019-04:7997 | 2019-05:7997 | 2019-06:7997 | 2019-07:7997 | 2019-08:7997 | 2019-09:7997 | 2019-10:7997
chirps,completo_2019_2025,area_dentro_loja_m2,texto CSV,decimal,671748,671748,0,0.000000,829,0.00417084537265737,250000,alta cardinalidad
chirps,completo_2019_2025,cell_id,texto CSV,texto,671748,671748,0,0.000000,7997,,,alta cardinalidad
chirps,completo_2019_2025,cell_index,texto CSV,entero,671748,671748,0,0.000000,7997,0,7996,alta cardinalidad
chirps,completo_2019_2025,chirps_dias_humedos_ge1mm,texto CSV,decimal,671748,671748,0,0.000000,>10000,0,20,alta cardinalidad
chirps,completo_2019_2025,chirps_dias_secos_lt1mm,texto CSV,decimal,671748,671748,0,0.000000,>10000,11,31,alta cardinalidad
chirps,completo_2019_2025,chirps_dias_validos_pixel,texto CSV,decimal,671748,671748,0,0.000000,20,28,31,31.0:343588 | 30.0:186088 | 28.0:29495 | 30.999999999999996:24941 | 31.000000000000004:23030 | 30.000000000000004:18900 | 29.999999999999996:18760 | 29.0:14092 | 27.999999999999996:5250 | 28.000000000000004:5225
chirps,completo_2019_2025,chirps_disponibilidad_pixel_pct,texto CSV,decimal,671748,671748,0,0.000000,5,100,100,100.0:599088 | 100.00000000000001:36708 | 99.99999999999999:35784 | 100.00000000000003:84 | 99.99999999999997:84
chirps,completo_2019_2025,chirps_grid_coverage,texto CSV,decimal,671748,671748,0,0.000000,1352,0.999999470976802,1.00000122989447,alta cardinalidad
chirps,completo_2019_2025,chirps_n_pixels_intersectados,texto CSV,entero,671748,671748,0,0.000000,4,1,4,1:558180 | 2:108360 | 4:5124 | 3:84
chirps,completo_2019_2025,chirps_observado_mes,texto CSV,decimal,671748,671748,0,0.000000,1,1,1,1.0:671748
chirps,completo_2019_2025,chirps_precipitacion_acumulada_mm,texto CSV,decimal,671748,671748,0,0.000000,>10000,0,783.094299316406,alta cardinalidad
chirps,completo_2019_2025,chirps_precipitacion_maxima_diaria_mm,texto CSV,decimal,671748,671748,0,0.000000,>10000,0,206.765747070313,alta cardinalidad
chirps,completo_2019_2025,chirps_precipitacion_media_diaria_mm,texto CSV,decimal,671748,671748,0,0.000000,>10000,0,26.1031436920166,alta cardinalidad
chirps,completo_2019_2025,chirps_valid_coverage,texto CSV,decimal,671748,671748,0,0.000000,1352,0.999999470976802,1.00000122989447,alta cardinalidad
chirps,completo_2019_2025,columna,texto CSV,entero,671748,671748,0,0.000000,100,0,99,73:15288 | 72:15204 | 74:15036 | 75:15036 | 76:14952 | 71:14700 | 77:14700 | 78:14364 | 70:14028 | 79:14028
chirps,completo_2019_2025,dias_calendario,texto CSV,entero,671748,671748,0,0.000000,4,28,31,31:391853 | 30:223916 | 28:39985 | 29:15994
chirps,completo_2019_2025,fila,texto CSV,entero,671748,671748,0,0.000000,186,0,185,alta cardinalidad
chirps,completo_2019_2025,fraccion_dentro_loja,texto CSV,decimal,671748,671748,0,0.000000,829,1.66833814906295e-08,1,alta cardinalidad
chirps,completo_2019_2025,mes,texto CSV,entero,671748,671748,0,0.000000,12,1,12,1:55979 | 10:55979 | 11:55979 | 12:55979 | 2:55979 | 3:55979 | 4:55979 | 5:55979 | 6:55979 | 7:55979
chirps,periodo_2023,anio,texto CSV,entero,95964,95964,0,0.000000,1,2023,2023,2023:95964
chirps,periodo_2023,anio_mes,texto CSV,texto,95964,95964,0,0.000000,12,,,2023-01:7997 | 2023-02:7997 | 2023-03:7997 | 2023-04:7997 | 2023-05:7997 | 2023-06:7997 | 2023-07:7997 | 2023-08:7997 | 2023-09:7997 | 2023-10:7997
chirps,periodo_2023,area_dentro_loja_m2,texto CSV,decimal,95964,95964,0,0.000000,829,0.00417084537265737,250000,alta cardinalidad
chirps,periodo_2023,cell_id,texto CSV,texto,95964,95964,0,0.000000,7997,,,alta cardinalidad
chirps,periodo_2023,cell_index,texto CSV,entero,95964,95964,0,0.000000,7997,0,7996,alta cardinalidad
chirps,periodo_2023,chirps_dias_humedos_ge1mm,texto CSV,decimal,95964,95964,0,0.000000,8121,0,15,alta cardinalidad
chirps,periodo_2023,chirps_dias_secos_lt1mm,texto CSV,decimal,95964,95964,0,0.000000,8181,15,31,alta cardinalidad
chirps,periodo_2023,chirps_dias_validos_pixel,texto CSV,decimal,95964,95964,0,0.000000,15,28,31,31.0:49084 | 30.0:26584 | 28.0:5899 | 30.999999999999996:3563 | 31.000000000000004:3290 | 30.000000000000004:2700 | 29.999999999999996:2680 | 27.999999999999996:1050 | 28.000000000000004:1045 | 31.000000000000007:28
chirps,periodo_2023,chirps_disponibilidad_pixel_pct,texto CSV,decimal,95964,95964,0,0.000000,5,100,100,100.0:85584 | 100.00000000000001:5244 | 99.99999999999999:5112 | 100.00000000000003:12 | 99.99999999999997:12
chirps,periodo_2023,chirps_grid_coverage,texto CSV,decimal,95964,95964,0,0.000000,1352,0.999999470976802,1.00000122989447,alta cardinalidad
chirps,periodo_2023,chirps_n_pixels_intersectados,texto CSV,entero,95964,95964,0,0.000000,4,1,4,1:79740 | 2:15480 | 4:732 | 3:12
chirps,periodo_2023,chirps_observado_mes,texto CSV,decimal,95964,95964,0,0.000000,1,1,1,1.0:95964
chirps,periodo_2023,chirps_precipitacion_acumulada_mm,texto CSV,decimal,95964,95964,0,0.000000,>10000,0,783.094299316406,alta cardinalidad
chirps,periodo_2023,chirps_precipitacion_maxima_diaria_mm,texto CSV,decimal,95964,95964,0,0.000000,>10000,0,150.385650634766,alta cardinalidad
