registro_id,cell_index,anio,mes,anio_mes,asset_fuente,viirs_soporte_nativo_m,viirs_detecciones_todas_support_mean,viirs_detecciones_nominal_alta_support_mean,viirs_presencia_fuego_support_frac,viirs_presencia_fuego_nominal_alta_support_frac,viirs_frp_suma_observada_support_mean_mw,viirs_frp_maxima_support_mean_mw,viirs_dias_validos_support_mean,viirs_disponibilidad_support_pct,viirs_observado_support_mean,viirs_source_coverage_frac,viirs_observed_support_frac,viirs_evidencia_fuego_any,viirs_evidencia_fuego_nominal_alta_any,estrato_muestra,procedencia,fuente_primaria,unidad_analisis,datos_simulados,version_origen
VCM_0001,1803,2019,1,2019-01,VIIRS_PREP_2019_01,926.625433055833,1.0,0.0,1.0,0.0,4.699999809265137,4.699999809265137,31.0,100.0,1.0,1.0,1.0,1,0,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0002,1808,2019,3,2019-03,VIIRS_PREP_2019_03,926.625433055833,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,6.752941019394818,6.752941019394818,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0003,4843,2019,4,2019-04,VIIRS_PREP_2019_04,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0004,5475,2019,5,2019-05,VIIRS_PREP_2019_05,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0005,3433,2019,7,2019-07,VIIRS_PREP_2019_07,926.625433055833,1.0,1.0,1.0,1.0,11.5,11.5,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0006,3462,2019,7,2019-07,VIIRS_PREP_2019_07,926.625433055833,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,2.0294117647058822,2.0294117647058822,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0007,1076,2019,9,2019-09,VIIRS_PREP_2019_09,926.625433055833,1.0,1.0,1.0,1.0,15.600000381469728,15.600000381469728,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0008,1121,2019,9,2019-09,VIIRS_PREP_2019_09,926.625433055833,0.2272727272727272,0.2272727272727272,0.2272727272727272,0.2272727272727272,1.9772726839238948,1.9772726839238948,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0009,1415,2019,9,2019-09,VIIRS_PREP_2019_09,926.625433055833,2.0,2.0,1.0,1.0,104.4000015258789,90.0,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0010,1814,2019,9,2019-09,VIIRS_PREP_2019_09,926.625433055833,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,10.89565194171408,10.89565194171408,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0011,3172,2019,9,2019-09,VIIRS_PREP_2019_09,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0012,3799,2019,9,2019-09,VIIRS_PREP_2019_09,926.625433055833,1.0,1.0,1.0,1.0,4.900000095367432,4.900000095367432,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0013,3034,2019,10,2019-10,VIIRS_PREP_2019_10,926.625433055833,0.5,0.5,0.5,0.5,17.75,17.75,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0014,4160,2019,11,2019-11,VIIRS_PREP_2019_11,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0015,33,2019,12,2019-12,VIIRS_PREP_2019_12,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0016,1619,2020,2,2020-02,VIIRS_PREP_2020_02,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,29.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0017,7506,2020,2,2020-02,VIIRS_PREP_2020_02,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,29.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0018,6686,2020,7,2020-07,VIIRS_PREP_2020_07,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0019,3143,2020,9,2020-09,VIIRS_PREP_2020_09,926.625433055833,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7352941176470589,9.338235153871423,9.338235153871423,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0020,5727,2020,9,2020-09,VIIRS_PREP_2020_09,926.625433055833,1.0,1.0,1.0,1.0,52.59999847412109,52.59999847412109,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0021,5835,2020,9,2020-09,VIIRS_PREP_2020_09,926.625433055833,0.4558823529411764,0.4558823529411764,0.4558823529411764,0.4558823529411764,2.0970587800530827,2.0970587800530827,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0022,5995,2020,9,2020-09,VIIRS_PREP_2020_09,926.625433055833,0.3999999999999999,0.3999999999999999,0.3999999999999999,0.3999999999999999,1.8399999618530272,1.8399999618530272,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
